# 影像判读未过闸，需人工复核
篇	OCR串	影像读数	二遍	原因	上下文
18	xx^iii	xxviii	?	互证闸：证人/二遍不一致	e very same expressions are employed. Compare also Ps. xx^iii. 8, lxxxiv. 10 (9), and Ps. lxxxix, *passim.* <!-- PAG
21	Kabbah	Rabbah	?	互证闸：证人/二遍不一致	golden crown which he took from the Ammonitish king of Kabbah (2 Sam. xii. 30), but to his ideal coronation by the g
22	m£	me	?	互证闸：证人/二遍不一致	e, kept me safe. The original construction is, *making m£ trust,* but the Hebrew infinitive and participle used 
22	th^	the	?	互证闸：证人/二遍不一致	o clauses may be here represented by the past tense of th^ English verb.—As applied to the whole church or chosen
22	^HIO	כָּאֲרִי	?	互证闸：证人/二遍不一致	e that some grammarians deny its existence altogether (^HIO for D^lhiD), and an equally rare form of the participl
22	D^lhiD	כָּאֲרִים	?	互证闸：证人/二遍不一致	me grammarians deny its existence altogether (^HIO for D^lhiD), and an equally rare form of the participle (D\*1S3 f
22	D\	כָּאֲרִים	?	互证闸：证人/二遍不一致	r D^lhiD), and an equally rare form of the participle (D\*1S3 for D^S), and a meaning of the verb itself which n
22	1S3	כָּאֲרִים	?	互证闸：证人/二遍不一致	^lhiD), and an equally rare form of the participle (D\*1S3 for D^S), and a meaning of the verb itself which nowhe
22	D^S	כָּרִים	?	互证闸：证人/二遍不一致	and an equally rare form of the participle (D\*1S3 for D^S), and a meaning of the verb itself which nowhere else 
22	lion-	*like a lion.*	?	互证闸：证人/二遍不一致	 of the same, in Num. xxiv. 9, Ezek. xxii. 25, *like a lion-* This idea would be here the more appropriate, because
22	IKS	כָּאֲרִי	?	互证闸：证人/二遍不一致	e two interpretations by supplying a verb and giving ^"IKS its usual meaning. " Like the lion (they have wounded)
22	wii	אֵלִי	?	互证闸：证人/二遍不一致	rence to the name of God with which the psalm begins *(wii)* and to the word *hind* (J^TjSt) in the title, both w
22	J^TjSt	אַיֶּלֶת	?	互证闸：证人/二遍不一致	which the psalm begins *(wii)* and to the word *hind* (J^TjSt) in the title, both which are akin to it in etymology.
24	SlJi/'	לַשָּׁוְא	?	互证闸：证人/二遍不一致	xact copy of the original. The precise construction') (SlJi/'? *HU.^2)* is found in these two places only; but a cogn
24	HU.^2	נָשָׂא	?	互证闸：证人/二遍不一致	 of the original. The precise construction') (SlJi/'? *HU.^2)* is found in these two places only; but a cognate one
24	ii^i	נָשָׂא	?	互证闸：证人/二遍不一致	is found in these two places only; but a cognate one *(ii^i* '; T T T T T ^^^) occurs repeatedly in the sense of s
24	^&lt	לַשָּׁוְא	?	互证闸：证人/二遍不一致	erpretations of the former phrase are that which makes ^&lt;^^^ a mere poetical variation of אל השוא and that whic
24	^&lt	לַשָּׁוְא	?	互证闸：证人/二遍不一致	ere poetical variation of אל השוא and that which gives ^&lt;')2J^7 K^J; in both places, the sense of *carrying to 
24	2J^7	לַשָּׁוְא	?	互证闸：证人/二遍不一致	tical variation of אל השוא and that which gives ^&lt;')2J^7 K^J; in both places, the sense of *carrying to vanity,
24	K^J	נָשָׂא	?	互证闸：证人/二遍不一致	 variation of אל השוא and that which gives ^&lt;')2J^7 K^J; in both places, the sense of *carrying to vanity, i. 
24	^&lt	נָשָׂא	?	互证闸：证人/二遍不一致	us, not by the single one in which the combination *b* ^&lt;ii.0; T T occurs, but by the many in which the same ve
24	ii.0	נָשָׂא	?	互证闸：证人/二遍不一致	ot by the single one in which the combination *b* ^&lt;ii.0; T T occurs, but by the many in which the same verb is
24	7not	not	?	互证闸：证人/二遍不一致	tion. The meaning of the clause will then be, *who has 7not set his heart on falsehood,* or on any false and sinfu
25	Db'lVp	מֵעוֹלָם	?	互证闸：证人/二遍不一致	nced already.—*Of old* is an inadequate translation of Db'lVp, and even in the stronger form, *ever of old,* less ex
25	translation/ro?w	from	?	互证闸：证人/二遍不一致	er of old,* less exact and expressive than the literal translation/ro?w. *eternity,* to which there is the less objection here,
32	TDTl	חָסִיד	?	互证闸：证人/二遍不一致	on which invariably follows it. For the true sense of *TDTl,* see above, on Ps. xxxi. 24 (23).— • r *Shall pray* i
35	i^D	סגר	?	互证闸：证人/二遍不一致	out of its repository or concealment. Some explain f, "i^D as a foreign word, identical with the Scythian *σάγαρι
35	I^D	סָגַר	?	互证闸：证人/二遍不一致	curs in Hebrew elsewhere, and the meaning of the verb "I^D is entirely appropriate, to *close* or stop the way ag
36	23rT	הַגֶּבֶר	?	互证闸：证人/二遍不一致	* DS3) and *the man* there and also in Prov. xxx. 1 (")23rT *Di^i),* both which appear to be copied from the words
36	Di^i	נְאֻם	?	互证闸：证人/二遍不一致	 and *the man* there and also in Prov. xxx. 1 (")23rT *Di^i),* both which appear to be copied from the words of Ba
36	^^B	פֶּשַׁע	?	互证闸：证人/二遍不一致	ing not from God nor from his prophets, but from sin *(^^B))* which here supplies their place. *A dictum of depra
36	D^?2	נְאֻם	?	互证闸：证人/二遍不一致	 copying the paraphrastic but familiar version of יהוה D^?2 in the English Bible, *thus saith transgression* or *c
36	yt£>l7	לָרָשָׁע	?	互证闸：证人/二遍不一致	sion* or *corruption.*—The meaning of the next phrase (yt£>l7) is determined by the analogy of Ps. ex. 1, where the 
37	\verb	The verb	verb	互证闸：证人/二遍不一致	gs of the chosen people. See Prov. ii. 21, x. 30. The *\verb feed,* in Hebrew as in English, is used both transitiv
37	D''l3	בָּרִים	?	互证闸：证人/二遍不一致	m (ver, 2), Others obtain the same sense by explaining D''l3 itself to *media pastures,* as it seems to do in Isa. 
37	upon/or	upon *for*	upon *for ever,*	互证闸：证人/二遍不一致	h reader might have be^n inclined to put a lower sense upon/or *ever,* as denoting nothing more than permanency in co
38	W^^n	איבי	חיים	互证闸：证人/二遍不一致	life,* and as שנאי שקר means *my enemies of falsehood, W^^n* 0^^&lt; may mean *my enemies of life,* those who hate
38	0^^&lt	חיים	איבי	互证闸：证人/二遍不一致	 and as שנאי שקר means *my enemies of falsehood, W^^n* 0^^&lt; may mean *my enemies of life,* those who hate my life
39	mean/row	from	mean from	互证闸：证人/二遍不一致	lause is obscure. *From good* is understood by some to mean/row *every thing,* because that idea is elsewhere expresse
39	^li^lD	תּוֹשָׁב	?	互证闸：证人/二遍不一致	t thy mercy, and dependent on thee. The parallel term (^li^lD) means one who has no land of his own, but is settled 
41	y^p	יקבץ	?	互证闸：证人/二遍不一致	ance of benevolence and friendship. The second future (y^p") may be either construed like the first, *he* (certai
42	27ie	The salvations of	The	互证闸：证人/二遍不一致	ating the expressions either of themselves or others. *27ie salvations of m,y face* is a bold and unusual expressi
44	fi-auduleutiy	fraudulentiy	fraudulentiy	判词闸：['fraudulentiy'] 不是真词	on, in Lev. xix. 11, has the sense of lying, or acting fi-auduleutiy, towards another. See also Ps. lxxxix. 34 (33). What i
45	^y	ix.	?	互证闸：证人/二遍不一致	*eternity and perpetuity.* See above, ^^.. *y ^^ 0-^)' ^y* ^ (^)- The same perpetuity is asserted of Jehovah's r
45	a.wife	as a wife	a wife	互证闸：证人/二遍不一致	 who was no longer to be treated as a daughter, but as a.wife and mother. As if he had said, " Hitherto thou hast be
46	u^	With us.	us	互证闸：证人/二遍不一致	n Ps. xxiv. 10, and below, on Ps. xlviii. 9 (8). *With u^.* Compare the name *Immanuel,* Isa. viii. 8. *A refuse,
47	■IIDT	זַמְּרוּ	?	互证闸：证人/二遍不一致	brew corresponding to *sing praises* is a single word (■IIDT); which means to praise musically, both with voice and
48	mizmor	mizmôr	mizmôr	判词闸：['mizm'] 不是真词	Song. To the Sons of Korah.* The generic term *'psalm (mizmor)* is rendered more specific by the addition of *song (
49	re/rain	refrain	?	互证闸：证人/二遍不一致	e of which is marked by the recurrence of a burden or *re/rain* in ver. 13 (12) and 21 (20). In the first of these tw
49	iinus	Sons	?	互证闸：证人/二遍不一致	s date or historical occasion. The inscription *to the iinus of Korah* is consistent with any date from the time of
49	xx\ii	xxvii.	?	互证闸：证人/二遍不一致	n a sense akin to which the verbal root is used. Gen. *xx\ii.* 36, Hos. xii. 4 (3). In either case, it is clearly a 
49	/or	for	?	互证闸：证人/二遍不一致	al construction of the first words—*when he sees* (or */or he sees) that wise men die* —is neither so simple in i
49	whofolloio	who follow them	who follow	互证闸：证人/二遍不一致	st to retain this meaning in the case before us. *They whofolloio them,* their imitators, their adherents, *will delight
49	dv/elling	dwelling	?	互证闸：证人/二遍不一致	tand *from dwelling* to mean a dwelling which is not a dv/elling, or, as we might say, an *undwelling.* Apart from thes
49	xxx\di	xxxvii.	?	互证闸：证人/二遍不一致	for the cause of truth and goodness. See above, on Ps. xxx\di. 1. The conjunction in the first clause may also be tra
49	iopraise	to *praise*	?	互证闸：证人/二遍不一致	o acknowledge benefits received, to *thank;* and then *iopraise* in general. See above, on Ps. vi. 6 (5). The primary 
49	a^	as	?	互证闸：证人/二遍不一致	t instructive commentary on the passage now before us, a^ exhibiting the future revolution in the relative posit
55	hnithemselves	but them-selves	but them-selves	判词闸：['them-selves'] 不是真词	10 (9). The object to be supplied is not *their tongue hnithemselves. Divide their tongue, i. e.* confound their speech or m
55	07ie	one	?	互证闸：证人/二遍不一致	le phrase here employed is understood by some to mean *07ie whom I value, i. e.* highly, or more specifically, *on
55	riytfiw	ἡγεμών	?	互证闸：证人/二遍不一致	logy, and the authority of the ancient versions. (LXX *riytfiw.* Vulg. *dux). Acquaintance* seems to be a weaker expre
55	fear-	fear God.	?	互证闸：证人/二遍不一致	 service of sin, and as a necessary consequence cannot fear- God. The grammatical structure of the whole verse is p
56	M«	put	?	互证闸：证人/二遍不一致	ion is expressed by the strong figure which follows, ^)M« *my tears into thy bottle, i. e.* preserve them in thy
56	Tj	נֹד	?	互证闸：证人/二遍不一致	e to have been suggested by the word for *wandering* ("Tj or lij), which is almost identical with that for *bott
56	lij	נוֹד	?	互证闸：证人/二遍不一致	ave been suggested by the word for *wandering* ("Tj or lij), which is almost identical with that for *bottle* (iX
56	iXi	נֹאד	?	互证闸：证人/二遍不一致	ij), which is almost identical with that for *bottle* (iXi). The latter strictly means a skin or leathern bottle,
56	Mai	Mal.	?	互证闸：证人/二遍不一致	r figurative expression for the memory itself. Compare Mai. iii. 16, <!-- PAGE 259 --> <span class="ax-anchor" id
56	translated/c/Z/t/j^	falling	?	互证闸：证人/二遍不一致	ssed are those of interrogation and negation. The word translated/c/Z/t/j^ is a very strong one, and means thrusting, casting dow
58	jc„	ός,	θυμός	互证闸：证人/二遍不一致	nse is retained here by the ancient versions *{^m&lt;i(jc„ furor),* and agi-ees well with the popular idea of vin
60	defence^	defence, or for-	defence, or for-	判词闸：['for-'] 不是真词	s very citadel. *The fenced city,* literally, *city of defence^ ox fortification,* a phrase already used in Ps. xxxi. 
63	marrow^	marrow and fatness shall my soul be satisfied,	?	判词闸：读数过长，疑似整句回抄	. See above, on Ps. xxviii. 3 (2). G (5). *As* (with) *marrow^ and fatness shall my soul he satisfied,* ar?fZ (with) 
63	ar?fZ	and	?	互证闸：证人/二遍不一致	ith) *marrow^ and fatness shall my soul he satisfied,* ar?fZ (with) *lips of rejoicing shall my mouth praise* (thee
65	near^	near, i. e.	near,	互证闸：证人/二遍不一致	 *Happy* (he whom) *thou wilt choose and bring* (him) *near^ i. e.* admit him to thy presence and to intimate commu
66	/-itw«	pruise	praise	判词闸：['pruise'] 不是真词	/span> *To him* (with) *my mouth I called, and high* ^;/-itw« (exaltation) *was under my tongue.* By a slight change
68	j^erhh	perish	?	互证闸：证人/二遍不一致	hem); *as wax: is melted before fire, the wicked shall j^erhh before God.* The form of expression is the same as in 
68	/rom	from	?	互证闸：证人/二遍不一致	rm of expression is the same as in the preceding verse,/rom *the face of fire, from the face (or presence) of God.
68	en\7	envy	?	互证闸：证人/二遍不一致	d. Zion is here described as an object of hostility or en\7 to the mountains of the heathen world, on account of t
68	implication/rom	implication *from*	?	互证闸：证人/二遍不一致	.* while present among them as their conqueror, and by implication/rom them. *Even rebels,* even the most rebellious, are com
69	of/or	of for	?	互证闸：证人/二遍不一致	ancient versions give it the equally appropriate sense of/or *requitals, i. e.* in recompence of their transgressio
69	D?l£^	שָׁלַם	?	互证闸：证人/二遍不一致	though this sense may be deduced from the verbal root (D?l£^), and belongs to several collateral derivatives (D7li^
69	i^yuh'^	שְׁלוֹמִים	?	互证闸：证人/二遍不一致	stence in the usage of \ • V V •• • the one before us *i^yuh'^)-* The circuitous construction in the English version 
72	heplentij	be plenty	?	互证闸：证人/二遍不一致	n of abundance, and should be translated, *there shall heplentij of corn in the land.* According to the other and more 
72	>n^	יְהִי	?	互证闸：证人/二遍不一致	uity and traditional authority. The apocopated future (>n^) may then be taken in its proper sense, as a concessio
72	y?0M?•^s^	flourish	?	互证闸：证人/二遍不一致	ere productive. See Hos. xiv. 5-7. The word translated y?0M?•^s^ means originally to *shine* or *glitter* (Ps. cxxxii. 
72	ienominatio	denominatio	denominatio	判词闸：['denominatio'] 不是真词	ion being called the prayers of David. *A potiori fit (ienominatio.* In like manner, the whole Psalter is still called the
73	Said^	Said, i.e.	Said,	互证闸：证人/二遍不一致	uch a hypothetical proposition could well be clothed. *Said^ i.e.* to myself, proposed it, formed the purpose. *Thu
73	1^X?2	בָּעִיר	?	互证闸：证人/二遍不一致	e so rendered in the first clause. The Hebrew phrase ("1^X?2) is used in more than fifty other places, and in all o
73	6f	6,	?	互证闸：证人/二遍不一致	 and means to *awaken,* except, perhaps, in Job viii. *6f* and in Ps. xxxv. 23 above. To this interpretation it 
73	T^S	בָּעִיר	?	互证闸：证人/二遍不一致	ore objected, that it supposes an unusual contraction (T^S for 1\*ITT3), and that the sense which it conveys is a
73	ITT3	בְּהָעִיר	?	互证闸：证人/二遍不一致	d, that it supposes an unusual contraction (T^S for 1\*ITT3), and that the sense which it conveys is an incongruou
73	toujnurs	toujours	toujours	判词闸：['toujours'] 不是真词	s. There is a perfectly analogous usage of the French *toujnurs.* In the last clause he seems to return to the metaphor
74	n|^n	חַיָּה	?	互证闸：证人/二遍不一致	 only doubtful point is the precise sense of the word (n|^n), twite translated *herd* above. It usually means an *
80	literally/or	literally *for salvation to us.*	?	互证闸：证人/二遍不一致	rch; but see above, on (Ps. xlvi. 9 (8). *To save us,* literally/or *salvation to us.* <!-- PAGE 350 --> <span class="ax-
80	^%/ace	thy face	?	互证闸：证人/二遍不一致	much more natural interpretation than that which makes ^%/ace mean *thy presence.* They perish, those who had before
84	PX	אֶת	?	互证闸：证人/二遍不一致	tion *even thine altars* supposes the Hebrew particle (PX) to indicate the object of the verb, as it does before
84	the/cms	the fons	?	互证闸：证人/二遍不一致	scription of the present life as one of suffering. To *the/cms lacrymarum* is opposed the fountain of salvation or of
84	IT^iD	מוֹרֶה	?	互证闸：证人/二遍不一致	ghteousness, in which sense one of the disputed words (IT^iD) occurs in Joel ii. 23, which accounts for its being t
84	mi^	יוֹרֶה	?	互证闸：证人/二遍不一致	 of *early rain,* elsewhere denoted by a cognate form (mi^). Compare the sentiment with that in Ps. li. 15 (13). 
85	nS	אך	?	互证闸：证人/二遍不一致	re is no need of departing from the strict sense of (\*nS) the particle with which the sentence opens. See above
86	ah-eady	already	?	互证闸：证人/二遍不一致	d when the divine help and consolation shall have been ah-eady granted. 
87	^br/ree	for free	?	互证闸：证人/二遍不一致	rew of Exod. xxi. 2, *he shall go out free,* literally ^br/ree, *i.e.* as free. The nations thus announced as belongi
88	theeimiplies	thee implies	?	互证闸：证人/二遍不一致	*night* and *by day* are in Ps. lxxvii. 3 (2). *Before theeimiplies* that his cries were not mere instinctive expressions 
89	£fixed	f.xed	?	判词闸：['xed'] 不是真词	 The idea here is, thou shalt make thy faithfulness as £fixed and stable as the frame of nature. <!-- PAGE 378 --> 
89	D^2I1	רַבִּים	?	互证闸：证人/二遍不一致	See above, on Ps. lxxxvii. 4, 6. The Hebrew adjective (D^2I1) may mean either *great* or *many;* but the latter sen
90	apr-yer	a prayer	?	互证闸：证人/二遍不一致	h on account of sin, ver. 7-11, and made the ground of apr-yer, with which the psalm concludes, for the speedy restor
91	means/rowi	from	?	互证闸：证人/二遍不一致	(7). The Hebrew preposition, in both clauses, properly means/rowi, *i.e.* arising or proceeding from, occasioned by, in 
93	\x	lx.	?	互证闸：证人/二遍不一致	veral other cases, to its promises. See above, on Ps. *\x.* 1, lxxx. 1. The verb here used is a passive, meaning 
96	phrase/rom	phrase from day to day	?	互证闸：证人/二遍不一致	i. 12 (11), and compare Isa. lx. 9, lii. 7, lx, 6. The phrase/rom *day to day* implies that the occasion of the praise r
99	lx\a	lxvi	?	互证闸：证人/二遍不一致	, Lam. ii. 1, Ps. cxxxii. 7, Isa. lx. 13. Even in Isa. lx\a. 1, there is allusion to the ordinary usage of the term
100	iniH	הוֹדוֹת	הוֹדוּ	互证闸：证人/二遍不一致	impracticable. The combination of the verb to *thank* (iniH) with its derivative noun (תודה) may throw some light 
102	preposition/rom	from	preposition *from*	互证闸：证人/二遍不一致	ting,* so as not to eat, a common idiomatic use of the preposition/rom in Hebrew. <span class="ax-anchor" id="psalms-102-5">
102	h^	ברא	?	互证闸：证人/二遍不一致	t now).* See above, on Ps. xxii. 32 (31). As the verb (h^")2) *create* is applied only to divine acts, its use h
103	i'^rtdvfMiav	ἐπιθυμίαν	?	互证闸：证人/二遍不一致	e conjecture, the Septuagint and Vulgate have *desire (i'^rtdvfMiav, desiderium),* a frequent sense of (^33) *soul* in Heb
103	auliendo	audiendo	audiendo	判词闸：['audiendo'] 不是真词	. The infinitive may here have the force of a gerund, *auliendo, auscultando,* by listening to the voice of his word, 
104	yiJ^	אֶרֶץ	?	互证闸：证人/二遍不一致	mples of the masculine construction of this very noun (yiJ^) besides those in which *earth* or *land* is put for i
104	monies	montes	?	互证闸：证人/二遍不一致	 while Jerome inserts it in his text, *ut inter medios monies ambulent.* <!-- PAGE 431 --> <span class="ax-anchor" 
104	phrase/oiy^	fowl	phrase fowl	互证闸：证人/二遍不一致	, 26, 28. That passage furnishes an explanation of the phrase/oiy^ (or *birds) of heaven,* in the fuller description (Gen
107	2I£^iQ	מוֹשָׁב	?	互证闸：证人/二遍不一致	nied, but because it adequately represents the Hebrew (2I£^iQ) in its double acceptation, as denoting both the act a
109	vcr	ver.	?	互证闸：证人/二遍不一致	rer's own deliverance, with a promise of thanksgiving, vcr. 21-31. According to the theory repeatedly referred to,
110	juventu^	juventus	juventus	判词闸：['juventus'] 不是真词	 the sense of *young men,* like the Latin *pubes* and *juventu^,* when applied to a youthful soldiery, or made to qual
110	prateritum	præte-ritum	præte- ritum	判词闸：['pr', 'te-ritum'] 不是真词	e tense of the verb may be regarded as an instance of *prateritum phropheticum,* describing what is certainly to happen 
115	they/eel	they feel	?	互证闸：证人/二遍不一致	not well be imitated in translation. *Their hands, and they/eel not; their feet, and they walk not.* Some make the fir
116	thankoflferings	thank-	thank-	判词闸：['thank-'] 不是真词	 cup of thanksgiving which accompanied or followed the thankoflferings. But we read of no such cup in Scripture, and its origi
118	translated/a?/m^	translated *falling*	?	互证闸：证人/二遍不一致	erb to *thrust* or *strike at* is the root of the noun translated/a?/m^ in Ps. lvi. 14 (13), cxvi. 8. <!-- PAGE 486 --> <span
118	lyta	מוֹעֵד	?	互证闸：证人/二遍不一致	,* and in 2 Chron. xxx. 22, another word for festival (lyta) is used in precisely the same way, being governed by 
118	as/aras	as far as	?	互证闸：证人/二遍不一致	To this it is objected that the preposition (1^) means as/aras, and implies a verb of motion, expressed or understood
118	cx\'i	cxvi.	?	互证闸：证人/二遍不一致	merely an invitation to fulfil the vow recorded in Ps. cx\'i. 14, 17, 18. <!-- PAGE 489 --> <span class="ax-anchor"
119	DJ	גם	?	互证闸：证人/二遍不一致	wo of the verses in the stanza ending here begin with (DJ) *also,* and two with pj), though in different senses.
119	pj	גל	?	互证闸：证人/二遍不一致	tanza ending here begin with (DJ) *also,* and two with pj), though in different senses. <!-- PAGE 493 --> <span
119	rwe	*me*	?	互证闸：证人/二遍不一致	 That *thy servant* is not a mere periphrasis for 7 or rwe in ver. 122 and elsewhere, appears from the first clau
122	ni^nii^	שֶׁחֻבְּרָה	?	互证闸：证人/二遍不一致	as written. See 2 Sam. v. 9. The abbreviated relative (ni^nii^) has by some been made a proof of later date; but it n
130	watch/or	watch for	?	互证闸：证人/二遍不一致	 baldness of the iteration, *I say more than they that watch/or the morning.* The comparison suggested is between the 
132	neighbournood	neighbourhood	neighbournood	判词闸：['neighbourhood'] 不是真词	 when he found it in the fields of the wood, or in the neighbournood of *Kirjath-jearim,* which name means Forest-town or C
132	hasjhere	has'here	?	判词闸：["has'here"] 不是真词	Ps. lxviii. 2(1). The word translated *resting-place,* hasjhere its proper meaning as a local noun. The last clause sh
132	prayer/or	prayer *for*	for	互证闸：证人/二遍不一致	e frequency with which God is urged to hear and answer prayer/or *David's sake* (1 Kings xi. 12, 13, xv. 4, 2 Kings vii
132	aficc^avrmv	ἀμαϱάντινον	?	互证闸：证人/二遍不一致	ell with the idea of a wreath or chaplet. Compare the *aficc^avrmv CTifavov* of 1 Pet. V. 4. Some prefer, however, to ret
132	CTifavov	στέφανον	?	互证闸：证人/二遍不一致	 idea of a wreath or chaplet. Compare the *aficc^avrmv CTifavov* of 1 Pet. V. 4. Some prefer, however, to retain what 
135	sendelh	sendeth	?	互证闸：证人/二遍不一致	t, or according to the paraphrase in the Prayer Book, *sendelh forth lightnings with the rain.* With the last clause 
136	plm-al	plural	?	互证闸：证人/二遍不一致	s* does not here mean false gods, but is a superlative plm-al qualifying that before it. See above, on Ps. lxxvii. 1
138	strengthenedst	strengtnenedst	strengtnenedst	判词闸：['strengtnenedst'] 不是真词	), lxi. 6 (5). The common version of the last clause *(strengthenedst me with strength in my aoul),* contains a paronomasia 
139	/or	for	?	互证闸：证人/二遍不一致	e preceding context. God is omnipresent and omniscient,/or he is the maker of the universe. <!-- PAGE 548 --> <s
139	literally/ear/i&lt	fearful	literally *fearful*	互证闸：证人/二遍不一致	ticle 03 7^) like *for that, forasmuch as. Fearfully,* literally/ear/i&lt;Z *(things),* but used adverbially, as in Ps. lxv. 6 (
139	foetus	fœtus	fœtus	判词闸：['tus'] 不是真词	or unformed, or more specifically that of an embryo or foetus. The next difficulty lies in the expression *all of the
139	j^^	לא	?	互证闸：证人/二遍不一致	sage is clearly determined by the context. Instead of (j^^) *not,* the keri or marginal reading in the Hebrew Bib
139	i^	לו	?	互证闸：证人/二遍不一致	 the keri or marginal reading in the Hebrew Bible has (i^) *to him,* a variation to which no one has succeeded i
141	3My	My eyes are unto thee,	My	互证闸：证人/二遍不一致	before us contains several favourite Davidic phrases. *3My eyes are unto thee,* Ps. xxv. 15. *In thee have I conf
144	ffe	He in whom I trust,	He	互证闸：证人/二遍不一致	 which was closed and yet perpetuated in the Messiah, *ffe in whom I trust,* literally *and in him I ti-usL My pe
144	ti-usL	trust.	?	互证闸：证人/二遍不一致	essiah, *ffe in whom I trust,* literally *and in him I ti-usL My people,* in its widest sense, including Israel and 
144	^7NJ	אַלּוּף	?	互证闸：证人/二遍不一致	y* a war-cry. But the first Hebrew word in question (C)!^7NJ) is applied only to the chiefs of Edom (Gen. xxxvi. 15
148	preposition/row	from	preposition *from*	互证闸：证人/二遍不一致	ation. Compare the singular in Ps. xviii. 17 (16). The preposition/row denotes the direction of the sound, the preposition *i
